fileName,Max Dep Ref,GraphModifySize,GraphModifyTime
gstorey_000_1_1.pst.116.xls,Empress vs Chippewa:H3,495,6
scott_neal_000_1_1.pst.156.xls,LongTerm1:D20,270,4
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D45,197,17
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C1263,1000,7
john_griffith_000_1_1.pst.196.xls,NP1265.2:F3,363,4
benjamin_rogers_001_1_1.pst.246.xls,Stratus Report:A15,103,1
andy_zipper_000_1_1.pst.20.xls,Deal Detail:A9,771,3
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D61,218,20
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,377,2
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,124,9
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,377,2
andy_zipper_000_1_1.pst.166.xls,Deal Detail:B9,596,6
daren_farmer_000_1_1.pst.313.xls,thursday:N556,344,46
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:H32,108,3
andy_zipper_000_1_1.pst.27.xls,Deal Detail:A9,951,5
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,1000,40
chris_germany_000_1_2.pst.162.xls,gatherco:J3,314,5
errol_mclaughlin_jr_000_1_1.pst.23.xls,MAY-2001:J3,129,1
phillip_allen_000_1_1.pst.302.xls,Raw Data:CB5,109,3
richard_ring_000_1_1.pst.143.xls,Hourly EESI Price Calcs:G21,745,3
andrew_lewis_000_1_1.pst.12.xls,Swap:Z3,156,1
tracy_geaccone_000_1_1.pst.306.xls,WESTCompare0201:AP7,145,12
joe_parks_000_1_1.pst.315.xls,Leg2:F3,362,5
errol_mclaughlin_jr_000_1_1.pst.133.xls,Surety Bond Annuity:B11,392,16
vladi_pimenov_000_1_1.pst.73.xls,Sheet1:C1,1000,11
dutch_quigley_000_1_1.pst.210.xls,Swap:D11,299,4
vkaminski_003_1_1_1.pst.73.xls,SpotCurves:F4,173,3
john_griffith_000_1_1.pst.146.xls,FGT Z2 Supply:B10,390,3
vkaminski_001_1_2_1.pst.98.xls,Expiration Dates:F9,262,2
chris_germany_000_1_2.pst.163.xls,gatherco:J3,314,5
john_griffith_000_1_1.pst.147.xls,FGT Z2 Supply:B10,390,3
harry_arora_000_1_1.pst.130.xls,WorkingData:E3,1000,7
lindy_donoho_000_1_1_1.pst.11.xls,WOT by Month thru 2010:H32,108,6
andy_zipper_000_1_1.pst.167.xls,Deal Detail:B9,638,6
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,1000,109
stacey_white_000_1_1.pst.279.xls,BRA Power:A6,377,2
darron_c_giron_002_1_1_1.pst.157.xls,30 Year:J3,361,5
john_griffith_000_1_1.pst.26.xls,Sheet1:E11,203,3
jonathan_mckay_000_1_1.pst.113.xls,Normals:C3,362,0
larry_may_000_1_1.pst.311.xls,WEST GAMMA:CY2,130,1
vkaminski_000_1_1_1.pst.281.xls,Expiration Dates:F9,262,2
benjamin_rogers_001_1_1.pst.50.xls,Debt:E160,119,15
stacey_white_000_1_1.pst.300.xls,BRA Power:A6,377,3
lindy_donoho_000_1_1_1.pst.142.xls,WOT by Month thru 2010:H32,108,21
tracy_geaccone_000_1_1.pst.151.xls,Trackers:D61,218,19
vkaminski_001_1_2_1.pst.130.xls,Expiration Dates:F9,262,2
john_arnold_000_1_2.pst.327.xls,F Trades:I22,172,4
tracy_geaccone_000_1_1.pst.417.xls,Detail:T1,384,60
sally_beck_002_1_1_1.pst.5.xls,Calculation:X20,995,27
jonathan_mckay_000_1_1.pst.26.xls,TETCO_TRANSCO:F38,342,6
tracy_geaccone_000_1_1.pst.264.xls,Trackers:D45,197,17
jeff_dasovich_000_1_1_1.pst.116.xls,Curves:B10,379,3
mike_swerzbin_000_1_1.pst.4.xls,GcDDisch_UsgsUsace1029_0901:A25335,367,4
dutch_quigley_000_1_1.pst.200.xls,Position:Z2,219,4
vkaminski_001_1_2_1.pst.131.xls,Expiration Dates:F9,262,3
benjamin_rogers_001_1_1.pst.109.xls,Stratus Report:A15,103,1
benjamin_rogers_001_1_1.pst.222.xls,Debt:E160,119,15
jim_schwieger_000_1_1.pst.100.xls,NYMEX-PR:A1536,1000,18
darron_c_giron_002_1_1_1.pst.143.xls,Darron:E5,316,2
larry_may_000_1_1.pst.302.xls,WEST GAMMA:CY2,130,1
andy_zipper_000_1_1.pst.111.xls,Deal Detail:B9,545,5
benjamin_rogers_001_1_1.pst.115.xls,Stratus Report:A15,103,2
chris_germany_000_1_2.pst.161.xls,gatherco:J3,314,4
jeff_dasovich_000_1_1_1.pst.115.xls,Curves:B10,376,5
tori_kuykendall_000_1_1_1.pst.122.xls,Sheet1:C1,1000,9
larry_campbell_000_1_1.pst.381.xls,Sheet1:E671,619,7
tracy_geaccone_000_1_1.pst.152.xls,Trackers:D45,197,15
jonathan_mckay_000_1_1.pst.25.xls,TETCO_TRANSCO:F38,342,6
peter_keavey_000_1_1.pst.21.xls,Realized Vol:A1422,102,1
benjamin_rogers_000_1_1.pst.191.xls,CCFMODEL:H10,173,18
errol_mclaughlin_jr_000_1_1.pst.136.xls,Gas Swap Model:B10,396,5
kam_keiser_000_1_1.pst.16.xls,LongTerm73:D22,255,4
tracy_geaccone_000_1_1.pst.239.xls,Trackers:D45,197,15
gstorey_000_1_1.pst.111.xls,king 80-15-5:E2,366,4
tori_kuykendall_000_1_1_1.pst.12.xls,GDA:K23,137,14
jim_schwieger_000_1_1.pst.110.xls,Sheet2:J5,333,223
dutch_quigley_000_1_1.pst.201.xls,Position:Z2,219,5
john_griffith_000_1_1.pst.187.xls,Transco Z3:F3,363,5
vkaminski_000_1_1_1.pst.258.xls,R11_logs:BM389,200,2
benjamin_rogers_000_1_1.pst.171.xls,BaseLoad:B1,239,3
john_griffith_000_1_1.pst.184.xls,Transco Z3:F3,363,5
vkaminski_000_1_1_1.pst.27.xls,Distributions:D5,1000,41
john_arnold_000_1_2.pst.108.xls,F Trades:I22,173,3
stacey_white_000_1_1.pst.305.xls,BRA Power:A6,377,3
mary_hain_000_1_1.pst.160.xls,CALC:I17,254,4
tracy_geaccone_000_1_1.pst.238.xls,CASHFLOW:D318,117,7
stacey_white_000_1_1.pst.252.xls,BRA Power:A6,377,2
chris_germany_000_1_2.pst.166.xls,gatherco:J3,314,4
lindy_donoho_000_1_1_1.pst.17.xls,WOT by Month thru 2010:H32,108,5
jim_schwieger_000_1_1.pst.111.xls,Module2:BI1214,168,3
andy_zipper_000_1_1.pst.23.xls,Deal Detail:A9,896,5
jonathan_mckay_000_1_1.pst.28.xls,TETCO_TRANSCO:F38,343,7
tracy_geaccone_000_1_1.pst.266.xls,CASHFLOW:H315,108,10
errol_mclaughlin_jr_000_1_1.pst.137.xls,EO9904.1 floor:F3,363,6
tori_kuykendall_000_1_1_1.pst.0.xls,Sheet1:C1,1000,11
lindy_donoho_000_1_1_1.pst.15.xls,WOT by Month thru 2010:H32,108,8
john_griffith_000_1_1.pst.185.xls,MAIN:S22,351,23
tori_kuykendall_000_1_1_1.pst.15.xls,Sheet1:C1,1000,9
kevin_ruscitti_000_1_1.pst.49.xls,Swap:A8,194,5
john_griffith_000_1_1.pst.322.xls,Gas Swap Model:F3,363,4
tori_kuykendall_000_1_1_1.pst.106.xls,Sheet1:C1,1000,10
richard_shapiro_000_1_1.pst.140.xls,Gas Swap Model:B10,396,3
sally_beck_002_1_1_1.pst.3.xls,Calculation:X20,995,26
john_griffith_000_1_1.pst.200.xls,NP1265.2:F3,363,4
andy_zipper_000_1_1.pst.18.xls,Deal Detail:A9,718,3
jim_schwieger_000_1_1.pst.71.xls,NYMEX-PR:A1536,1000,5
phillip_m_love_000_1_1.pst.681.xls,m1:C12,202,3
jonathan_mckay_000_1_1.pst.27.xls,TETCO_TRANSCO:F38,342,6
jim_schwieger_000_1_1.pst.112.xls,Module2:BQ1974,159,3
kevin_presto_000_1_1.pst.16.xls,MAIN:U19,265,8
tracy_geaccone_000_1_1.pst.237.xls,Trackers:D61,218,22
stacey_white_000_1_1.pst.296.xls,BRA Power:A6,377,2
vkaminski_000_1_1_1.pst.307.xls,Expiration Dates:F9,262,2
stacey_white_000_1_1.pst.1.xls,BRA Power:A6,377,2
jim_schwieger_000_1_1.pst.106.xls,NYMEX-PR:A1536,1000,6
benjamin_rogers_000_1_1.pst.116.xls,Stratus Report:A15,103,2
kevin_ruscitti_000_1_1.pst.4.xls,Swap:A8,194,4
