fileName,Max Dep Ref,NoCompLookupSize,NoCompLookUpTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
jane_tholt_000_1_1.pst.14.xls,Harbor Cogen:B14,17,1,9,1
lisa_gang_000_1_1.pst.41.xls,APRIL (8):O24,10,0,7,0
tracy_geaccone_000_1_1.pst.291.xls,Sheet1:D8,5,0,4,0
chris_germany_000_1_2.pst.1146.xls,Sheet1:C6,2,0,2,0
jim_schwieger_000_1_1.pst.10.xls,STOR951:D13,13,0,4,0
darrell_schoolcraft_000_1_1_1.pst.226.xls,22:C9,7,0,3,0
darrell_schoolcraft_000_1_1_1.pst.670.xls,Sheet1:G24,4,1,3,1
kevin_presto_000_1_1.pst.101.xls,NPCC:H11,2,1,2,1
kim_ward_000_1_2.pst.132.xls,Momma Credit Form :I29,3,1,3,1
louise_kitchen_000_1_1_1_1.pst.17.xls,Cost Summary:B9,3,0,2,0
darrell_schoolcraft_000_1_1_1.pst.420.xls,Sublette:H11,2,0,2,0
jeff_dasovich_000_1_1_1.pst.182.xls,8.15:E12,7,0,4,0
dan_hyvl_000_1_1.pst.167.xls,Sheet1:D14,11,0,7,0
benjamin_rogers_001_1_1.pst.144.xls,ENA Comps:B12,9,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:B9,674,13,1,14
don_baughman_000_1_1.pst.175.xls,Sheet1:C20,37,1,17,1
scott_neal_000_1_1.pst.880.xls,Sheet1:B10,86,2,18,2
darron_c_giron_002_1_1_1.pst.162.xls,Sheet1:A22,12,1,1,1
kevin_presto_000_1_1.pst.351.xls,NPCC:H11,2,0,2,0
matthew_lenhart_001_1_1.pst.161.xls,Power Desk Daily PriceA:B9,3,0,3,0
shelley_corman_000_1_1.pst.59.xls,WOT by Month:U35,11,1,10,1
vkaminski_000_1_1_1.pst.195.xls,PricesW:B2,899,13,1,13
mary_hain_000_1_1.pst.158.xls,Sheet1:E8,11,0,8,0
peter_keavey_000_1_1.pst.130.xls,Sheet1:C19,17,0,4,0
phillip_m_love_000_1_1.pst.206.xls,Orig Sched:N17,5,0,4,0
chris_germany_000_1_1_1.pst.66.xls,Daily Activity:B8,757,15,536,15
lisa_gang_000_1_1.pst.146.xls,EES-Schedule day 1:AA12,0,0,0,0
sally_beck_001_1_2_1.pst.214.xls,Summary YTD:I14,41,1,41,1
vkaminski_001_1_2_1.pst.336.xls,Amort:F10,66,1,13,1
chris_germany_000_1_1_1.pst.182.xls,Tenn:D23,349,7,12,8
chris_germany_000_1_2.pst.133.xls,John's Page:G32,27,0,12,0
chris_germany_000_1_2.pst.115.xls,Mar 2002:C17,35,1,4,1
jeff_dasovich_000_1_1_1.pst.4.xls,Sheet1:F30,9,0,3,0
phillip_allen_000_1_1.pst.114.xls,weekly:I37,10,0,8,0
lisa_gang_000_1_1.pst.128.xls,day 2:AA12,0,0,0,0
richard_ring_000_1_1.pst.111.xls,BASE GENERATION FORECAST:C10,7,0,1,0
benjamin_rogers_001_1_1.pst.250.xls,Debt:B32,666,16,25,17
daren_farmer_002_1_1.pst.27.xls,CoOwner Vols:R23,33,0,5,0
thomas_martin_000_1_1_1.pst.50.xls,YTD_NG:I18,18,0,12,0
andy_zipper_000_1_1.pst.159.xls,Broker Data:C5,2,0,2,0
shelley_corman_000_1_1.pst.30.xls,TW Revenues:C9719,4,0,1,0
richard_shapiro_001_1_1_1.pst.3.xls,Summary:A34,17,1,17,1
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,4545,85,247,90
kim_ward_000_1_2.pst.179.xls,Sheet1:C9,10,0,5,0
hunter_shively_000_1_1.pst.348.xls,DAILY:AF2,0,0,0,0
benjamin_rogers_001_1_1.pst.232.xls,Debt:B102,935,27,51,28
kenneth_lay_000_1_1_1_1.pst.37.xls,ENRON:E18,20,0,20,0
mary_fischer_000_1_1.pst.119.xls,1001:E36,26,0,13,0
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,37,1,17,1
chris_germany_001_1_1.pst.110.xls,Sheet1:B13,5,1,5,1
richard_ring_000_1_1.pst.149.xls,2001:AA31,0,0,0,0
paul_y'barbo_000_1_1.pst.180.xls,LPG & No. 2 OIL:E45,11,0,9,0
dutch_quigley_000_1_1.pst.137.xls,Sheet1:D5,2,0,2,0
chris_germany_000_1_2.pst.62.xls,Daily Activity:C12,26,0,4,0
chris_germany_000_1_2.pst.1049.xls,Monthly Summary:F7,8,0,6,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,8,0,7,0
mark_taylor_001_1_1.pst.132.xls,Sheet1:O13,3,0,2,0
lisa_gang_000_1_1.pst.79.xls,LOSSES:C16,3,0,2,0
john_lavorato_001_1_2.pst.102.xls,Sheet1:I4,279,18,140,19
mike_grigsby_000_1_1_1.pst.106.xls,Power Curve:J5,31738,1505,1888,1548
chris_germany_000_1_2.pst.259.xls,Feb 28:L14,56,1,31,1
daren_farmer_001_1_1.pst.1084.xls,Apr 00:D52,19,0,19,0
michelle_lokay_000_1_2_1.pst.273.xls,NW:AB5,4,0,4,0
jay_reitmeyer_000_1_1.pst.221.xls,Summary:E23,7,0,6,0
darrell_schoolcraft_000_1_1_1.pst.379.xls,Feb 02:A6,31,0,1,0
lynn_blair_000_1_1.pst.144.xls,July:F37,89,0,44,0
john_forney_000_1_1.pst.38.xls,Sheet1:Q5,2,0,2,0
thomas_martin_000_1_1_1.pst.97.xls,Floor Plan:I62,6,0,1,0
kam_keiser_000_1_1.pst.12.xls,US:B12,6,0,1,0
darrell_schoolcraft_000_1_1_1.pst.458.xls,by type_area:J4,69,1,68,1
andy_zipper_000_1_1.pst.186.xls,Sheet1:B9,6,0,3,0
paul_lucci_000_1_1.pst.105.xls,PowerPrices:BR5,40,1,40,1
hunter_shively_000_1_1.pst.222.xls,Sheet1:Y9,14,0,14,0
benjamin_rogers_001_1_1.pst.126.xls,UAE:F60,19,1,19,1
paul_y'barbo_000_1_1.pst.24.xls,LNG:J4,2915,31,1398,33
sally_beck_000_1_2_1.pst.5.xls,Hdct & Wages:B13,113,1,113,1
gerald_nemec_000_1_1.pst.38.xls,Pursue Master:E12,3,0,2,0
larry_campbell_000_1_1.pst.385.xls,Variable Prod Costs:D38,7,0,5,0
darron_c_giron_002_1_1_1.pst.144.xls,Sheet2:C5,9,0,9,0
benjamin_rogers_000_1_1.pst.103.xls,Forecast Info:A5,182,4,8,4
kevin_presto_000_1_1.pst.139.xls,NPCC:H11,2,0,2,0
lisa_gang_000_1_1.pst.6.xls,MARCH(17):H19,10,0,5,0
michael_maggi_000_1_1_1.pst.1.xls,SC:D36,2,0,2,0
barry_tycholiz_000_1_1.pst.14.xls,Denver office:U11,5,0,4,0
kim_ward_000_1_2.pst.540.xls,Sheet1:H11,7,0,4,0
benjamin_rogers_001_1_1.pst.5.xls,Wheatland:Z66,46,0,17,0
scott_neal_000_1_1.pst.792.xls,Sheet1:J3,202,2,51,2
chris_germany_000_1_2.pst.142.xls,CNG:L2,744,9,597,10
lisa_gang_000_1_1.pst.155.xls,EES-Schedule day 1:AA12,0,0,0,0
james_steffes_000_1_1.pst.33.xls,Sheet1:Q49,5,0,5,0
darrell_schoolcraft_000_1_1_1.pst.388.xls,02-(27)intra:D10,49,0,24,0
bill_williams_iii_000_1_1.pst.71.xls,Sheet1:L3,1,0,1,0
jonathan_mckay_000_1_1.pst.111.xls,Nov-Mar settle:C56,1,0,1,0
chris_germany_000_1_1_1.pst.191.xls,Tenn:D31,349,3,12,3
joe_parks_000_1_1.pst.190.xls,Trades:A1,7,0,1,0
kate_symes_000_1_1.pst.116.xls,2-15:S8,3,0,2,0
louise_kitchen_001_1_1_1.pst.207.xls,Daily Roll:E48,15,0,15,0
chris_germany_000_1_2.pst.106.xls,Sheet1:B8,63,0,7,0
lisa_gang_000_1_1.pst.313.xls,Scheduling:AJ5,0,0,0,0
john_arnold_000_1_2.pst.10.xls,Full Version:C9,5,0,3,0
john_forney_000_1_1.pst.47.xls,frontcalc:B12,24,0,7,0
lisa_gang_000_1_1.pst.119.xls,Sheet1:F8,2,0,1,0
chris_germany_000_1_2.pst.53.xls,For Sequent:C16,5,0,4,0
lynn_blair_000_1_1.pst.153.xls,Scores:DV62,5,1,3,1
kevin_presto_000_1_1.pst.166.xls,NPCC:H11,2,0,2,0
phillip_m_love_000_1_1.pst.614.xls,Summary:B20,3,0,2,0
chris_germany_000_1_1_1.pst.155.xls,NewPowerPurchase2011:AN12,0,0,0,0
scott_neal_000_1_1.pst.950.xls,unvested:E8,73,1,43,1
chris_germany_000_1_2.pst.444.xls,CGAS:E12,182,2,141,2
darron_c_giron_000_1_1_1.pst.287.xls,MGMT-WEST:A4,4,0,4,0
paul_y'barbo_000_1_1.pst.33.xls,LNG:J4,2915,34,1398,36
kim_ward_000_1_2.pst.105.xls,Pricing & Purchase Strategy:F14,105,1,48,1
theresa_staab_000_1_1.pst.4.xls,S Kitty Detail:E11,237,2,205,2
benjamin_rogers_000_1_1.pst.112.xls,Sheet1:B8,121,0,25,1
darrell_schoolcraft_000_1_1_1.pst.546.xls,Jan 2002:A6,31,0,1,0
louise_kitchen_000_1_1_1_1.pst.167.xls,Sheet1:K33,23,1,4,1
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,61,1,2,1
scott_neal_000_1_1.pst.756.xls,Sheet1:E30,160,2,94,2
cooper_richey_000_1_1.pst.19.xls,Sheet1:I18,3,0,3,0
darron_c_giron_002_1_1_1.pst.171.xls,HouseSave:C38,11,0,11,0
peter_keavey_000_1_1.pst.63.xls,Reported:G67,1,0,1,0
dutch_quigley_000_1_1.pst.119.xls,Sheet1:G34,4,0,3,0
john_lavorato_000_1_1_1.pst.55.xls,PEAK:N6,4,0,2,0
chris_germany_000_1_2.pst.471.xls,2001 CG:D49,146,1,144,1
joe_parks_000_1_1.pst.417.xls,available capacity:B29,2,0,2,0
mike_carson_000_1_1.pst.26.xls,Sheet1:F16,1,0,1,0
chris_dorland_000_1_1_1.pst.9.xls,X Forecast:AC5,12,0,6,0
darron_c_giron_000_1_1_1.pst.152.xls,Sheet2:B9,2,0,1,0
phillip_m_love_001_1_1.pst.130.xls,Orig Sched:N72,5,1,4,1
john_zufferli_000_1_1.pst.99.xls,Sheet1:I18,3,0,3,0
phillip_allen_000_1_1.pst.16.xls,Sheet1:F4,37,0,37,0
michelle_lokay_000_1_2_1.pst.120.xls,Sheet1:I15,16,0,8,0
kim_ward_000_1_2.pst.382.xls,Sheet1:C9,10,0,5,0
lisa_gang_000_1_1.pst.225.xls,Spreadsheet:I1,7,0,5,0
kevin_presto_000_1_1.pst.272.xls,NPCC:H11,2,0,2,0
vkaminski_000_1_1_1.pst.274.xls,calcs:AB17,0,0,0,0
phillip_m_love_000_1_1.pst.321.xls,Orig Sched:N17,5,0,4,0
darrell_schoolcraft_000_1_1_1.pst.100.xls,by type_area:G4,73,1,72,1
jonathan_mckay_000_1_1.pst.149.xls,ECC -ED Buy:B10,71,0,46,0
chris_germany_000_1_2.pst.435.xls,CGAS:M6,196,2,194,2
kevin_presto_000_1_1.pst.236.xls,Summary:L34,48,1,28,1
benjamin_rogers_001_1_1.pst.223.xls,SOURCEDATA:C13,65,0,11,0
michelle_lokay_000_1_2_1.pst.22.xls,NW:AB5,4,0,4,0
phillip_platter_000_1_1.pst.21.xls,EES-Schedule day 1:F60,10,0,9,0
eric_linder_000_1_1.pst.0.xls,3-27:S8,3,0,2,0
robin_rodrigue_000_1_1.pst.134.xls,GRMS Detail:AF110,0,0,0,0
randall_gay_000_1_1.pst.10.xls,Sheet1:B26,3,0,2,0
darron_c_giron_000_1_1_1.pst.318.xls,FEB 99:H12,3,0,3,0
keith_holst_000_1_1.pst.144.xls,FizIndexStart:S63,3,1,3,1
daren_farmer_001_1_1.pst.1066.xls,DELV SUMMARY:A8,29,0,1,0
scott_neal_000_1_1.pst.686.xls,Sheet1:E32,171,2,104,2
geir_solberg_000_1_1.pst.7.xls,MAY(14):W34,7,0,4,0
phillip_allen_000_1_1.pst.150.xls,Sheet1:B31,7,0,6,0
john_hodge_000_1_1.pst.198.xls,load Info:L1070,8,0,4,0
chris_germany_000_1_2.pst.1119.xls,Eff Apr '00:C5,10,0,5,0
kevin_ruscitti_000_1_1.pst.155.xls,03_20_00AM:BT499,0,0,0,0
sally_beck_000_1_1_1_1.pst.431.xls,2000:B9,147,1,147,1
errol_mclaughlin_jr_000_1_1.pst.176.xls,Jun Deals:L136,3,0,2,0
richard_shapiro_001_1_2.pst.200.xls,Sheet1:D16,3,0,3,0
lynn_blair_000_1_1.pst.63.xls,May 01:A6,61,0,60,0
matt_motley_000_1_1_1.pst.31.xls,Filter Peak:B1,235,2,1,2
louise_kitchen_000_1_2_1.pst.185.xls,E-Next Equipment Balances:E10,5,0,5,0
daren_farmer_000_1_1.pst.205.xls,BMSPT066:A8,259,6,184,6
andy_zipper_000_1_1.pst.103.xls,PHYSICAL:H11,5,0,4,0
john_arnold_000_1_2.pst.125.xls,NYMEX:D256,1,0,1,0
joe_parks_000_1_1.pst.386.xls,available capacity:B29,2,0,2,0
joe_stepenovitch_000_1_1.pst.15.xls,DATA:F1380,3,0,1,0
tracy_geaccone_000_1_1.pst.448.xls,2002 Plan:T26,3,0,3,0
andrea_ring_000_1_1.pst.15.xls,February 2000:C23,15,0,7,0
don_baughman_000_1_1.pst.193.xls,Sheet1:C20,37,1,17,1
lisa_gang_000_1_1.pst.50.xls,APRIL (17):R23,10,0,7,0
jeffrey_a_shankman_000_1_2.pst.210.xls,Large C&I (ABX1 43):P46,412,4,140,5
tracy_geaccone_000_1_1.pst.282.xls,nng0801:G8,15,0,8,0
chris_germany_000_1_1_1.pst.84.xls,Total Reqs:J65,251,3,127,3
vkaminski_000_1_1_1.pst.217.xls,Allocations:T4,50,0,6,0
kam_keiser_000_1_1.pst.68.xls,Basis&Index:E185,1,0,1,0
chris_stokley_000_1_1.pst.171.xls,Sheet1:A3,30,0,1,0
andrea_ring_000_1_1.pst.42.xls,Sheet1:E34,3,0,3,0
monika_causholli_000_1_1.pst.131.xls,Sheet1:H11,4,0,3,0
matthew_lenhart_000_1_1.pst.1.xls,Power Curve:J5,18030,483,1689,499
tracy_geaccone_000_1_1.pst.361.xls,Format:L14,55,0,55,0
gerald_nemec_000_1_1.pst.260.xls,Kennedy:F24,16,1,9,1
phillip_m_love_000_1_1.pst.184.xls,Orig Sched:N17,5,0,4,0
darrell_schoolcraft_000_1_1_1.pst.323.xls,Feb 02:A6,31,0,1,0
drew_fossum_000_1_1.pst.232.xls,Sheet1:F23,3,0,2,0
john_hodge_000_1_1.pst.160.xls,ENRON (MARCH AND SEPT):E16,14,0,8,0
jay_reitmeyer_000_1_1.pst.19.xls,11-01 #7010:C20,2,0,2,0
phillip_allen_000_1_1.pst.666.xls,Sheet1:C368,4,0,3,0
bill_williams_iii_000_1_1.pst.3.xls,5-11:S8,3,0,2,0
don_baughman_000_1_1.pst.101.xls,Sheet1:C20,37,0,17,0
lisa_gang_000_1_1.pst.23.xls,LOSSES:C16,3,0,2,0
jonathan_mckay_000_1_1.pst.361.xls,TETCO STX:C10,6,0,4,0
andy_zipper_000_1_1.pst.84.xls,TRANSACTIONSUMMARYREPORT -1:N4780,9,1,3,1
darrell_schoolcraft_000_1_1_1.pst.573.xls,1001:J7,69,1,67,1
phillip_platter_000_1_1.pst.59.xls,EES-Schedule day 1:F60,11,0,10,0
phillip_m_love_000_1_1.pst.679.xls,Basis:K7663,2,0,2,0
jeffrey_a_shankman_000_1_2.pst.131.xls,Week #16:G23,11,0,5,0
scott_neal_000_1_1.pst.134.xls,STOR951:D13,13,0,4,0
theresa_staab_000_1_1.pst.163.xls,IMBALANCE:J11,14,0,14,0
daren_farmer_000_1_1.pst.1119.xls,BAMMEL:C15,44,1,43,1
darrell_schoolcraft_000_1_1_1.pst.652.xls,Sheet1:F27,3,0,3,0
darrell_schoolcraft_000_1_1_1.pst.402.xls,Igncomb:G26,14,0,8,0
andy_zipper_000_1_1.pst.130.xls,PHYSICAL:H11,5,0,4,0
john_lavorato_001_1_1_1.pst.51.xls,Summary Sheet:C6,16,0,16,0
robin_rodrigue_000_1_1.pst.199.xls,Months:F4,124,1,62,1
jeff_dasovich_000_1_1_1.pst.49.xls,SCE DWR bond sizing:C5,15,0,4,0
daren_farmer_001_1_1.pst.1057.xls,JAN 00:D7,20,0,1,0
sally_beck_001_1_1_1_1.pst.295.xls,Sheet1:C5,6,0,1,0
kay_mann_000_1_1.pst.24.xls,Sheet1:E9,23,0,1,0
daren_farmer_001_1_1.pst.1251.xls,Mar 00:K95,3,0,3,0
richard_shapiro_001_1_2.pst.130.xls,Sheet1:I7,41,0,3,0
tracy_geaccone_000_1_1.pst.49.xls,2002 Plan:T26,3,0,3,0
sara_shackleton_000_1_2.pst.256.xls,Momma Credit Form :I29,3,0,3,0
tori_kuykendall_000_1_1_1.pst.91.xls,Basis:B8,77,1,13,1
jim_schwieger_000_1_1.pst.108.xls,Comparison to Prior Periods:G34,17,0,12,0
peter_keavey_000_1_1.pst.238.xls,Reported:G67,1,0,1,0
scott_neal_000_1_1.pst.979.xls,unvested:E8,73,1,43,1
kim_ward_000_1_2.pst.425.xls,Sheet1:G89,1,0,1,0
elizabeth_sager_000_1_1.pst.83.xls,PEAK + OFF PEAK:J176,7,0,4,0
barry_tycholiz_000_1_1.pst.32.xls,Sheet1:K7,18,0,6,0
larry_campbell_000_1_1.pst.504.xls,Calculator:F2,4,0,1,0
sally_beck_001_1_1_1_1.pst.198.xls,Sum Nov 1 to 8:C38,2,0,1,0
mark_taylor_001_1_1.pst.197.xls,Sheet1:O10,3,0,2,0
mark_taylor_001_1_1.pst.70.xls,Summary by Crop & Issue Date:F8,28,0,19,0
benjamin_rogers_000_1_1.pst.57.xls,Gas Curves:BV2,0,0,0,0
vkaminski_000_1_1_1.pst.265.xls,Calculation:V11,2,0,2,0
marie_heard_000_1_1.pst.10.xls,Momma Credit Form :I29,3,0,3,0
benjamin_rogers_000_1_1.pst.130.xls,Answers:G102,7,0,5,0
vkaminski_001_1_2_1.pst.36.xls,RMPM-Whole:I12,2711,37,1511,39
louise_kitchen_001_1_1_1.pst.299.xls,Sheet1:N17,1,0,1,0
jeff_dasovich_000_1_1_1.pst.50.xls,Sheet1:B8,18,0,1,0
robert_badeer_000_1_1.pst.107.xls,VaR:O39,3,0,3,0
scott_neal_000_1_1.pst.700.xls,Sheet1:E35,180,1,109,2
chris_germany_000_1_2.pst.160.xls,CNG:L2,744,8,597,8
joe_parks_000_1_1.pst.233.xls,VAR:G1,107,1,14,1
richard_sanders_000_1_1_1.pst.95.xls,TIMES:M197,6,0,2,0
sally_beck_000_1_1_1_1.pst.150.xls,Sheet1:A4,44,0,1,1
frank_ermis_000_1_1.pst.102.xls,10_30_01:I279,4,0,4,0
chris_dorland_000_1_1_1.pst.47.xls,SWAP MODEL:I2,2226,38,1141,40
errol_mclaughlin_jr_000_1_1.pst.322.xls,RSXNSUMo:N28,2,0,2,0
sally_beck_002_1_1_1.pst.5.xls,Calculation:X20,1960,21,980,22
chris_germany_000_1_2.pst.1173.xls,FOM Chg vs 04-24FOM:L278,1,0,1,0
jay_reitmeyer_000_1_1.pst.203.xls,Physical Fixed Price Report_092:I125,4,0,4,0
darrell_schoolcraft_000_1_1_1.pst.262.xls,22:C9,7,0,3,0
kevin_ruscitti_000_1_1.pst.128.xls,March 00:B4,30,0,1,0
scott_neal_000_1_1.pst.835.xls,Sheet1:E31,154,2,90,2
tracy_geaccone_000_1_1.pst.264.xls,Trackers:D45,875,11,80,12
jeff_dasovich_000_1_1_1.pst.116.xls,Curves:B10,4343,57,1451,59
barry_tycholiz_000_1_1.pst.71.xls,Orig Sched:N17,4,0,3,0
thomas_martin_000_1_1_1.pst.227.xls,Sheet1:F19,5,0,1,0
stacey_white_000_1_1.pst.218.xls,Power Desk Daily PriceA:B9,3,0,3,0
darron_c_giron_002_1_1_1.pst.416.xls,June 2001:E9,1608,23,42,23
rick_buy_000_1_2_1.pst.22.xls,West - Fund:M17,58,1,50,1
lisa_gang_000_1_1.pst.270.xls,BASE GENERATION FORECAST:C10,7,0,1,0
daren_farmer_000_1_1.pst.311.xls,Cali Temp Forecast:G45,64,4,7,4
craig_dean_000_1_1.pst.34.xls,Frontera:E75,4,0,4,0
daren_farmer_000_1_1.pst.1216.xls,Offshore- S. Tx- Arklatex- G.C.:C51,10,0,6,0
darron_c_giron_000_1_1_1.pst.222.xls,DiffDates:B9,22,1,2,1
lisa_gang_000_1_1.pst.304.xls,Scheduling:AJ5,0,0,0,0
chris_germany_000_1_1_1.pst.146.xls,Sheet1:E22,6,0,5,0
jeff_dasovich_000_1_1_1.pst.97.xls,Week #11:G23,11,0,5,0
sally_beck_000_1_1_1_1.pst.237.xls,1999:L7,23,0,7,0
kevin_presto_000_1_1.pst.290.xls,NPCC:H11,2,0,2,0
paul_y'barbo_000_1_1.pst.42.xls,LNG:J4,2918,52,1398,54
andy_zipper_001_1_1.pst.346.xls,Asian Stip Example:C6,25,0,13,0
mark_haedicke_000_1_1_1.pst.10.xls,Sheet1:H11,3,0,3,0
benjamin_rogers_000_1_1.pst.48.xls,ECAR:V216,6,0,4,0
jason_wolfe_000_1_1.pst.150.xls,PowerPrices:BR5,40,0,40,0
lynn_blair_000_1_1.pst.162.xls,Oct01:Q2,68,1,68,1
kim_ward_000_1_2.pst.391.xls,EPNG-spreadsheet:C24,25,0,18,0
chris_stokley_000_1_1.pst.89.xls,Sheet1:C72,3,0,3,0
mary_fischer_000_1_1.pst.137.xls,ETS - Grid Downtime:D9,2,0,1,0
theresa_staab_000_1_1.pst.154.xls,CIG  WKST:K68,118,1,71,1
larry_campbell_000_1_1.pst.108.xls,Koch Pipelines:I7,11,0,11,0
darrell_schoolcraft_000_1_1_1.pst.537.xls,Sheet1:G15,3,1,3,1
chris_dorland_000_1_1_1.pst.56.xls,Dorland Aeco Forecast:F6,22,0,20,0
chris_stokley_000_1_1.pst.162.xls,Automated Charge Types:A70,32,1,14,1
scott_neal_000_1_1.pst.143.xls,Sheet1:B1,45,0,23,0
joe_parks_000_1_1.pst.435.xls,Bridgeline DPR2:M12,17,0,7,0
chris_germany_000_1_1_1.pst.93.xls,Sheet1:C10,9,0,7,0
sally_beck_001_1_1_1_1.pst.450.xls,Staffing Details - Summary:L10,3,0,3,0
frank_ermis_000_1_1.pst.120.xls,CurveFetch:E2,30,0,1,0
mike_grigsby_000_1_1_1.pst.251.xls,Months:F4,306,1,153,1
darrell_schoolcraft_000_1_1_1.pst.722.xls,Sheet1:G15,3,0,3,0
larry_campbell_000_1_1.pst.648.xls,Feb OPP:L20,10,0,3,0
lisa_gang_000_1_1.pst.299.xls,Scheduling:AJ5,0,0,0,0
michelle_cash_000_1_1_1.pst.71.xls,Non-Commercial Scorecard:J11,1,0,1,0
kam_keiser_000_1_1.pst.279.xls,support for reclass of ENA:I15,7,0,7,0
james_steffes_000_1_1.pst.241.xls,all sellers data:L8,67,0,2,0
john_griffith_000_1_1.pst.518.xls,Sheet1:D4,842,16,411,17
sally_beck_001_1_1_1_1.pst.497.xls,Sheet1:B2,4,0,2,0
jeff_dasovich_000_1_1_1.pst.204.xls,Sheet1:B10,53,1,11,1
lisa_gang_000_1_1.pst.173.xls,BASE GENERATION FORECAST:C10,7,0,1,0
mark_taylor_000_1_1.pst.130.xls,EOL New Products:A9,19,0,1,0
darrell_schoolcraft_000_1_1_1.pst.208.xls,02-(01):D10,49,0,24,0
kate_symes_000_1_1.pst.41.xls,Fri-Sat:Q5,1,0,1,0
mary_fischer_000_1_1.pst.10.xls,300-330 deg.:G4,1,0,1,0
lynn_blair_000_1_1.pst.72.xls,Sheet1:H8,3,0,2,0
tracy_geaccone_000_1_1.pst.352.xls,page 2:M10,4,0,3,0
jeffrey_a_shankman_000_1_2.pst.187.xls,Summary:C55,95,0,32,0
daren_farmer_000_1_1.pst.1313.xls,Offshore- S. Tx- Arklatex- G.C.:C51,10,0,6,0
daren_farmer_001_1_1.pst.1242.xls,GPPP:B16,2,0,1,0
daren_farmer_000_1_1.pst.1399.xls,Offshore- S. Tx- Arklatex- G.C.:C60,15,1,10,1
daren_farmer_001_1_1.pst.1268.xls,Master:K11,213,3,95,3
peter_keavey_000_1_1.pst.112.xls,Reported:G67,1,0,1,0
dana_davis_000_1_1.pst.128.xls,Sheet1:A24,2,0,2,0
mark_guzman_000_1_1_1.pst.135.xls,Test Sheet:V84,34,1,32,1
jeff_dasovich_000_1_1_1.pst.79.xls,Sheet1:B16,17,1,5,1
mike_carson_000_1_1.pst.80.xls,Sheet1:C13,10,1,10,1
theresa_staab_000_1_1.pst.212.xls,Nov:D23,6,0,6,0
vkaminski_002_1_1_1.pst.275.xls,Calculations:AR2,0,0,0,0
chris_germany_000_1_2.pst.17.xls,external:C8,37,0,7,0
monique_sanchez_000_1_1.pst.1.xls,Sheet1:B20,18,0,1,0
kevin_hyatt_000_1_1.pst.218.xls,Fuel Use:I26,2,0,2,0
phillip_platter_000_1_1.pst.12.xls,day 2:F60,9,0,8,0
