fileName,Longest Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
lynn_blair_000_1_1.pst.153.xls,Scores:N17,5,0,3,0
kevin_presto_000_1_1.pst.166.xls,NPCC:H35,2,0,2,0
phillip_m_love_000_1_1.pst.614.xls,Summary:B24,3,0,3,0
chris_germany_000_1_1_1.pst.155.xls,NewPowerPurchase2011:AN66,0,0,0,0
scott_neal_000_1_1.pst.950.xls,mm assets:F40,21,0,12,0
chris_germany_000_1_2.pst.444.xls,CGAS:C6,19,0,19,0
darron_c_giron_000_1_1_1.pst.287.xls,MGMT-WEST:A4,4,0,4,0
paul_y'barbo_000_1_1.pst.33.xls,LNG:H186,742,5,549,5
kim_ward_000_1_2.pst.105.xls,Pricing & Purchase Strategy:B37,16,0,6,0
theresa_staab_000_1_1.pst.4.xls,S Kitty Detail:A26,1,0,1,0
benjamin_rogers_000_1_1.pst.112.xls,Sheet1:B8,84,1,23,1
darrell_schoolcraft_000_1_1_1.pst.546.xls,Jan 2002:A6,2,0,1,0
louise_kitchen_000_1_1_1_1.pst.167.xls,Sheet1:H54,8,0,6,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,3,0,2,0
scott_neal_000_1_1.pst.756.xls,Sheet1:E30,78,1,48,1
cooper_richey_000_1_1.pst.19.xls,Sheet1:I12,3,0,3,0
darron_c_giron_002_1_1_1.pst.171.xls,HouseSave:C60,11,0,11,0
peter_keavey_000_1_1.pst.63.xls,Reported:F30,1,0,1,0
dutch_quigley_000_1_1.pst.119.xls,Sheet1:B12,4,0,4,0
john_lavorato_000_1_1_1.pst.55.xls,PEAK:E10,4,0,4,0
chris_germany_000_1_2.pst.471.xls,2001 CG:D5,5,0,4,0
joe_parks_000_1_1.pst.417.xls,available capacity:B38,1,0,1,0
mike_carson_000_1_1.pst.26.xls,Sheet1:B23,1,0,1,0
chris_dorland_000_1_1_1.pst.9.xls,X Forecast:Y5,13,0,7,0
darron_c_giron_000_1_1_1.pst.152.xls,Sheet2:B9,1,0,1,0
phillip_m_love_001_1_1.pst.130.xls,Orig Sched:K51,3,0,3,0
john_zufferli_000_1_1.pst.99.xls,Sheet1:I12,3,0,3,0
phillip_allen_000_1_1.pst.16.xls,Sheet1:F4,7,0,7,0
michelle_lokay_000_1_2_1.pst.120.xls,Sheet1:D12,13,0,7,0
kim_ward_000_1_2.pst.382.xls,Sheet1:B9,10,0,5,0
lisa_gang_000_1_1.pst.225.xls,Spreadsheet:L13,5,0,4,0
kevin_presto_000_1_1.pst.272.xls,NPCC:H35,2,0,2,0
vkaminski_000_1_1_1.pst.274.xls,calcs:X19,4,0,4,0
phillip_m_love_000_1_1.pst.321.xls,Orig Sched:N13,5,0,4,0
darrell_schoolcraft_000_1_1_1.pst.100.xls,NW:AC5,4,0,4,0
jonathan_mckay_000_1_1.pst.149.xls,ECC -ED Buy:B10,12,0,8,0
chris_germany_000_1_2.pst.435.xls,CGAS:M6,22,0,20,0
kevin_presto_000_1_1.pst.236.xls,Summary:L34,20,0,15,0
benjamin_rogers_001_1_1.pst.223.xls,CLARIFICATIONS:A28,1,0,1,0
michelle_lokay_000_1_2_1.pst.22.xls,NW:AC5,4,0,4,0
phillip_platter_000_1_1.pst.21.xls,EES-Schedule day 1:Y59,10,0,10,0
eric_linder_000_1_1.pst.0.xls,3-27:J15,2,0,2,0
robin_rodrigue_000_1_1.pst.134.xls,GRMS Detail:AF8,0,0,0,0
randall_gay_000_1_1.pst.10.xls,Sheet1:H7,2,0,2,0
darron_c_giron_000_1_1_1.pst.318.xls,FEB 99:H11,1,0,1,0
keith_holst_000_1_1.pst.144.xls,FizIndexStart:C45,3,0,3,0
daren_farmer_001_1_1.pst.1066.xls,DELV SUMMARY:A8,1,0,1,0
scott_neal_000_1_1.pst.686.xls,Sheet1:F32,67,1,36,1
geir_solberg_000_1_1.pst.7.xls,MAY(14):W34,7,0,4,0
phillip_allen_000_1_1.pst.150.xls,Sheet1:B31,7,0,6,0
john_hodge_000_1_1.pst.198.xls,load Info:L910,8,1,4,1
chris_germany_000_1_2.pst.1119.xls,Eff Apr '00:C5,5,0,4,0
kevin_ruscitti_000_1_1.pst.155.xls,03_20_00AM:X531,1,0,1,0
sally_beck_000_1_1_1_1.pst.431.xls,2000:B10,11,0,11,0
errol_mclaughlin_jr_000_1_1.pst.176.xls,Jun Deals:K40,2,0,2,0
richard_shapiro_001_1_2.pst.200.xls,Sheet1:D8,3,0,3,0
lynn_blair_000_1_1.pst.63.xls,OCT 01:A6,3,1,2,1
matt_motley_000_1_1_1.pst.31.xls,Filter Peak:B1,1,0,1,0
louise_kitchen_000_1_2_1.pst.185.xls,E-Next Equipment Balances:E9,5,0,5,0
daren_farmer_000_1_1.pst.205.xls,BMSPT066:A8,44,0,28,1
andy_zipper_000_1_1.pst.103.xls,PHYSICAL:H11,5,0,4,0
john_arnold_000_1_2.pst.125.xls,NYMEX:D245,1,0,1,0
joe_parks_000_1_1.pst.386.xls,available capacity:B38,1,0,1,0
joe_stepenovitch_000_1_1.pst.15.xls,DATA:S537,2,0,2,0
tracy_geaccone_000_1_1.pst.448.xls,2002 Plan:N24,3,0,3,0
andrea_ring_000_1_1.pst.15.xls,February 2000:C31,7,0,3,0
don_baughman_000_1_1.pst.193.xls,Sheet1:C38,37,0,17,0
lisa_gang_000_1_1.pst.50.xls,APRIL (17):D25,10,0,7,0
jeffrey_a_shankman_000_1_2.pst.210.xls,Large C&I (ABX1 43):P46,162,2,49,2
tracy_geaccone_000_1_1.pst.282.xls,nng0801:G9,15,0,8,0
chris_germany_000_1_1_1.pst.84.xls,Total Reqs:J11,251,4,127,4
vkaminski_000_1_1_1.pst.217.xls,Allocations:C53,1,0,1,0
kam_keiser_000_1_1.pst.68.xls,Basis&Index:E222,1,0,1,0
chris_stokley_000_1_1.pst.171.xls,Sheet1:A3,1,0,1,0
andrea_ring_000_1_1.pst.42.xls,Sheet1:E64,3,0,3,0
monika_causholli_000_1_1.pst.131.xls,Sheet1:F18,4,0,4,0
matthew_lenhart_000_1_1.pst.1.xls,Power Curve:A1,5,0,4,0
tracy_geaccone_000_1_1.pst.361.xls,Format:D13,55,1,55,1
gerald_nemec_000_1_1.pst.260.xls,ENA Purchase Summary:E19,15,0,4,0
phillip_m_love_000_1_1.pst.184.xls,Orig Sched:N17,5,0,4,0
darrell_schoolcraft_000_1_1_1.pst.323.xls,Feb 02:A6,2,0,1,0
drew_fossum_000_1_1.pst.232.xls,Sheet1:F31,1,0,1,0
john_hodge_000_1_1.pst.160.xls,ENRON (MARCH AND SEPT):E16,14,0,8,0
jay_reitmeyer_000_1_1.pst.19.xls,11-01 #7010:C21,2,0,2,0
phillip_allen_000_1_1.pst.666.xls,Sheet1:D47,3,0,3,0
bill_williams_iii_000_1_1.pst.3.xls,5-11:J15,2,0,2,0
don_baughman_000_1_1.pst.101.xls,Sheet1:C38,37,1,17,1
lisa_gang_000_1_1.pst.23.xls,LOSSES:B14,3,0,3,0
jonathan_mckay_000_1_1.pst.361.xls,TETCO STX:C10,6,0,4,0
andy_zipper_000_1_1.pst.84.xls,DD-EGL:P29,3,1,2,1
darrell_schoolcraft_000_1_1_1.pst.573.xls,1001:I8,5,0,3,0
phillip_platter_000_1_1.pst.59.xls,EES-Schedule day 1:Y59,11,1,11,1
phillip_m_love_000_1_1.pst.679.xls,Basis:K40,2,0,2,0
jeffrey_a_shankman_000_1_2.pst.131.xls,Week #16:G8,10,0,6,0
scott_neal_000_1_1.pst.134.xls,STOR951:C21,5,0,3,0
theresa_staab_000_1_1.pst.163.xls,IMBALANCE:L11,14,0,14,0
daren_farmer_000_1_1.pst.1119.xls,BAMMEL:R22,12,0,11,0
darrell_schoolcraft_000_1_1_1.pst.652.xls,Sheet1:F7,3,0,3,0
darrell_schoolcraft_000_1_1_1.pst.402.xls,Attch#1:G28,13,0,7,0
andy_zipper_000_1_1.pst.130.xls,PHYSICAL:H11,5,0,4,0
john_lavorato_001_1_1_1.pst.51.xls,Summary Sheet:C6,4,0,4,0
robin_rodrigue_000_1_1.pst.199.xls,Months:F4,4,0,2,0
jeff_dasovich_000_1_1_1.pst.49.xls,SCE DWR bond sizing:C5,13,0,4,0
daren_farmer_001_1_1.pst.1057.xls,JAN 00:D7,1,0,1,0
sally_beck_001_1_1_1_1.pst.295.xls,Sheet1:B20,3,0,3,0
kay_mann_000_1_1.pst.24.xls,Sheet1:E9,2,0,1,0
daren_farmer_001_1_1.pst.1251.xls,Mar 00:K74,3,0,3,0
richard_shapiro_001_1_2.pst.130.xls,Sheet1:I7,4,0,3,0
tracy_geaccone_000_1_1.pst.49.xls,2002 Plan:N24,3,0,3,0
sara_shackleton_000_1_2.pst.256.xls,Momma Credit Form :H33,3,0,3,0
tori_kuykendall_000_1_1_1.pst.91.xls,Basis:H25,9,0,5,0
jim_schwieger_000_1_1.pst.108.xls,Comparison to Prior Periods:G3,17,0,12,0
peter_keavey_000_1_1.pst.238.xls,Reported:F30,1,0,1,0
scott_neal_000_1_1.pst.979.xls,mm assets:E12,21,0,13,0
kim_ward_000_1_2.pst.425.xls,Sheet1:F162,1,0,1,0
elizabeth_sager_000_1_1.pst.83.xls,PEAK + OFF PEAK:I327,5,0,4,0
barry_tycholiz_000_1_1.pst.32.xls,Sheet1:J15,12,0,6,0
larry_campbell_000_1_1.pst.504.xls,Stripped:G227,3,0,3,0
sally_beck_001_1_1_1_1.pst.198.xls,Sum Nov 1 to 8:C17,2,0,2,0
mark_taylor_001_1_1.pst.197.xls,Sheet1:N7,2,1,2,1
mark_taylor_001_1_1.pst.70.xls,Summary by Crop & Issue Date:B10,18,0,3,0
benjamin_rogers_000_1_1.pst.57.xls,Gas Curves:BV2,0,0,0,0
vkaminski_000_1_1_1.pst.265.xls,Calculation:U6,2,0,2,0
marie_heard_000_1_1.pst.10.xls,Momma Credit Form :H33,3,0,3,0
benjamin_rogers_000_1_1.pst.130.xls,Income Statement:C6,6,0,6,0
vkaminski_001_1_2_1.pst.36.xls,RMPM-Whole:I12,469,3,318,3
louise_kitchen_001_1_1_1.pst.299.xls,Sheet1:H22,1,0,1,0
jeff_dasovich_000_1_1_1.pst.50.xls,Sheet1:B8,1,0,1,0
robert_badeer_000_1_1.pst.107.xls,VaR:O39,3,0,3,0
scott_neal_000_1_1.pst.700.xls,Sheet1:E35,94,0,56,1
chris_germany_000_1_2.pst.160.xls,CNG:L3,40,0,33,0
joe_parks_000_1_1.pst.233.xls,VAR:A15,27,0,4,0
richard_sanders_000_1_1_1.pst.95.xls,TIMES:B218,6,0,2,0
sally_beck_000_1_1_1_1.pst.150.xls,Sheet1:A4,1,0,1,0
frank_ermis_000_1_1.pst.102.xls,10_30_01:I315,4,0,4,0
chris_dorland_000_1_1_1.pst.47.xls,SWAP MODEL:A8,1,0,1,0
errol_mclaughlin_jr_000_1_1.pst.322.xls,RSXNSUMo:F314,2,0,2,0
sally_beck_002_1_1_1.pst.5.xls,Monthly Headcount by Position:D43,40,0,4,0
chris_germany_000_1_2.pst.1173.xls,FOM Chg vs 04-24FOM:L373,1,0,1,0
jay_reitmeyer_000_1_1.pst.203.xls,Physical Fixed Price Report_092:I84,4,0,4,0
darrell_schoolcraft_000_1_1_1.pst.262.xls,22:B11,7,0,5,0
kevin_ruscitti_000_1_1.pst.128.xls,March 00:B4,1,0,1,0
scott_neal_000_1_1.pst.835.xls,Sheet1:F73,33,0,21,0
tracy_geaccone_000_1_1.pst.264.xls,Trackers:D344,209,2,34,3
jeff_dasovich_000_1_1_1.pst.116.xls,Curves:B10,43,1,18,1
barry_tycholiz_000_1_1.pst.71.xls,Orig Sched:N10,4,0,3,0
thomas_martin_000_1_1_1.pst.227.xls,Sheet1:F20,5,0,1,0
stacey_white_000_1_1.pst.218.xls,Power Desk Daily PriceA:B12,3,0,3,0
darron_c_giron_002_1_1_1.pst.416.xls,June 19 Supply Price:A3,1,0,1,0
rick_buy_000_1_2_1.pst.22.xls,Mkt Risk:J18,23,1,20,1
lisa_gang_000_1_1.pst.270.xls,BASE GENERATION FORECAST:C10,1,0,1,0
daren_farmer_000_1_1.pst.311.xls,Cali Temp Forecast:I40,20,1,4,1
craig_dean_000_1_1.pst.34.xls,Frontera:C73,4,0,4,0
daren_farmer_000_1_1.pst.1216.xls,Offshore- S. Tx- Arklatex- G.C.:C18,10,0,6,0
darron_c_giron_000_1_1_1.pst.222.xls,DiffDates:B9,2,0,2,0
lisa_gang_000_1_1.pst.304.xls,Scheduling:AJ5,0,0,0,0
chris_germany_000_1_1_1.pst.146.xls,Sheet2:F9,3,0,2,0
jeff_dasovich_000_1_1_1.pst.97.xls,Week #11:G8,11,0,5,0
sally_beck_000_1_1_1_1.pst.237.xls,1999:L7,17,1,7,1
kevin_presto_000_1_1.pst.290.xls,NPCC:H35,2,0,2,0
paul_y'barbo_000_1_1.pst.42.xls,LNG:H186,867,6,642,7
andy_zipper_001_1_1.pst.346.xls,Asian Stip Example:C6,3,0,2,0
mark_haedicke_000_1_1_1.pst.10.xls,Sheet1:C9,3,0,2,0
benjamin_rogers_000_1_1.pst.48.xls,ECAR:C192,6,1,4,1
jason_wolfe_000_1_1.pst.150.xls,CurveFetch:E2,30,0,1,0
lynn_blair_000_1_1.pst.162.xls,Sept01:O54,4,0,4,0
kim_ward_000_1_2.pst.391.xls,EPNG-spreadsheet:C16,21,0,15,0
chris_stokley_000_1_1.pst.89.xls,Sheet1:F45,2,0,2,0
mary_fischer_000_1_1.pst.137.xls,ETS - Grid Downtime:E9,2,0,1,0
theresa_staab_000_1_1.pst.154.xls,CIG  WKST:J1,38,1,31,1
larry_campbell_000_1_1.pst.108.xls,Koch Pipelines:F6,5,0,5,0
darrell_schoolcraft_000_1_1_1.pst.537.xls,Sheet1:G18,3,0,3,0
chris_dorland_000_1_1_1.pst.56.xls,Dorland Aeco Forecast:F6,12,0,10,0
chris_stokley_000_1_1.pst.162.xls,Automated Charge Types:A70,18,0,14,0
scott_neal_000_1_1.pst.143.xls,Sheet1:B1,10,0,5,0
joe_parks_000_1_1.pst.435.xls,Bridgeline DPR2:O12,15,0,8,0
chris_germany_000_1_1_1.pst.93.xls,Sheet1:C10,5,1,5,1
sally_beck_001_1_1_1_1.pst.450.xls,Staffing Details - Summary:H9,3,0,3,0
frank_ermis_000_1_1.pst.120.xls,CurveFetch:E2,30,0,1,0
mike_grigsby_000_1_1_1.pst.251.xls,Months:F4,4,0,2,0
darrell_schoolcraft_000_1_1_1.pst.722.xls,Sheet1:G18,3,0,3,0
larry_campbell_000_1_1.pst.648.xls,Monthly OPP Awards:A6,3,0,2,0
lisa_gang_000_1_1.pst.299.xls,Scheduling:AJ5,0,0,0,0
michelle_cash_000_1_1_1.pst.71.xls,Non-Commercial Scorecard:I7,1,0,1,0
kam_keiser_000_1_1.pst.279.xls,support for reclass of ENA:G4,7,0,6,0
james_steffes_000_1_1.pst.241.xls,all sellers data:L8,3,0,2,0
john_griffith_000_1_1.pst.518.xls,Sheet1:D4,37,0,31,0
sally_beck_001_1_1_1_1.pst.497.xls,Sheet1:B2,4,0,2,0
jeff_dasovich_000_1_1_1.pst.204.xls,Sheet1:B13,51,0,10,0
lisa_gang_000_1_1.pst.173.xls,BASE GENERATION FORECAST:C10,1,0,1,0
mark_taylor_000_1_1.pst.130.xls,EOL New Products:A9,1,0,1,0
darrell_schoolcraft_000_1_1_1.pst.208.xls,02-(01):D10,5,0,2,0
kate_symes_000_1_1.pst.41.xls,Fri-Sat:Q17,1,0,1,0
mary_fischer_000_1_1.pst.10.xls,300-330 deg.:J21,1,0,1,0
lynn_blair_000_1_1.pst.72.xls,Sheet1:H11,3,0,2,0
tracy_geaccone_000_1_1.pst.352.xls,page 2:M12,4,0,3,0
jeffrey_a_shankman_000_1_2.pst.187.xls,Positions:AB64,0,0,0,0
daren_farmer_000_1_1.pst.1313.xls,Offshore- S. Tx- Arklatex- G.C.:E14,9,0,5,0
daren_farmer_001_1_1.pst.1242.xls,GPPP:B16,2,0,1,0
daren_farmer_000_1_1.pst.1399.xls,Offshore- S. Tx- Arklatex- G.C.:C62,15,0,10,0
daren_farmer_001_1_1.pst.1268.xls,Master:C17,33,1,16,1
peter_keavey_000_1_1.pst.112.xls,Reported:F30,1,0,1,0
dana_davis_000_1_1.pst.128.xls,Sheet1:A20,2,0,2,0
mark_guzman_000_1_1_1.pst.135.xls,Test Sheet:C126,34,0,32,0
jeff_dasovich_000_1_1_1.pst.79.xls,Sheet1:F6,7,0,5,0
mike_carson_000_1_1.pst.80.xls,Sheet1:C11,10,0,10,0
theresa_staab_000_1_1.pst.212.xls,Nov:D27,5,0,4,0
vkaminski_002_1_1_1.pst.275.xls,Gas Curves:BV2,0,0,0,0
chris_germany_000_1_2.pst.17.xls,external:C8,7,0,6,0
monique_sanchez_000_1_1.pst.1.xls,Sheet1:B20,1,0,1,0
kevin_hyatt_000_1_1.pst.218.xls,Fuel Use:E122,2,0,2,0
phillip_platter_000_1_1.pst.12.xls,day 2:Y59,9,0,9,1
kate_symes_001_1_1.pst.44.xls,Dec 2000:G20,1,0,1,0
