fileName,Longest Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
toxclassifier_tests.xlsx,python:B5,19,1,12,1
Costos_Totales.xlsx,Total:AA282,0,0,0,0
outage.xlsx,Masterdata:AG1508,0,0,0,0
BAO CAO CHI 16.10-22.10 TEMPLATE (1).xlsx,Chi tiết:D87,54,0,2,0
20. Indicadores financieros_13.xlsx,20.3:F33,5,0,4,0
ЖД пути 13.09.2020.xlsx,шуба:F389,5,0,3,0
10.1-10.31日福龙结算单(13)_10.xlsx,8.6:U10,6,0,4,0
Agriculture Cost Tiers.xlsx,Liv 2010 Source:B12,1,0,1,0
NHLDataFrame_toapply.xlsx,NHLDataFrame_toapply:C271,1,0,1,0
SizingWorkshop-RVTools-Answers.xlsx,Summary:D2,1,0,1,0
EIoF_CashFlow_AnnualStorage_MA.xlsx,Model:V2478,183,2,7,2
C224_ctd_cor.xlsx,Sheet1:F11,733,6,661,6
SAM-0.2 OR5x100-0.25_2 dataset analysis.xlsx,State026:B47,6,0,1,0
MarksixRecord.xlsx,MarksixRecord:L62,248,3,77,3
vaccinations_2021-11-04.xlsx,By County:K47,1,0,1,0
Stock 25.04.20.xlsx,Smartphone Sales Report:C7,54,0,27,0
base_2020_limpa.xlsx,Mapa:N28,13,0,4,0
4_11_practical-example-confidence-intervals.xlsx,Germany:AM28,0,0,0,0
Refine2014PAVotingData.xlsx,2014 PA precinct results philly:P299,6,0,4,0
Cims_phenotype_2015_lamothe_CRUCIAL_AGIR.xlsx,plot:M263,4,0,3,0
RequirementEng_manual.xlsx,RequirementEngineering:B3,317,2,1,2
vad_fft_picture.xlsx,org_time:A292,1,0,1,0
results_02.02.2020.xlsx,Commits:F43,8,0,3,0
SAM-0.2 OR10x100-0.50_6 dataset analysis.xlsx,State026:G38,6,0,1,0
power movs categorized.xlsx,movs ordered by action:E1,13492,92,13492,98
Vodafone Turkey Online EShop - Interim _ Regression Test Matrix v0.2 - 2015.12.09.xlsx,Test Report:E3,1,0,1,0
Bairros.xlsx,Sheet4:C2,3165,232,582,233
ТАГИ 2021_11_04.xlsx,Сводная:A3,5,0,2,0
raw_data_potato_and_sweet_potato_2019.xlsx,PotatoRwandaS1_LMF Parasitoids:D43,3,0,1,0
relacao_geral_-_vodanet_-_17-01-2013.xlsx,Semanal:C2,11,0,8,0
Virginia COVID school data from state.xlsx,Use for Data Hub:D35,1,0,1,0
SolicitudGrafica_CN_10_12_CO_REC_240_OK.xlsx,Solicitud gráfica:B10,298,4,298,4
telco_churn_cluster.xlsx,Sheet1:C4,19,0,7,0
New Braunfels Temp and Precip since 1900.xlsx,833414:F1079,4,0,1,0
0a52c65d8e97cb08d05749d796348289.xlsx,JUL:D17,5,0,3,0
Valuation of Conoco Philips-2016.xlsx,Beta Estimation - I:B5,3015,32,2010,33
Monk_Jorian.xlsx,Character:B19,28,0,19,0
Cânđốithuchi.xlsx,01-2015:S69,38,1,4,1
NHUNG - NCC - CÔNG NỢ PHẢI TRẢ CN2.xlsx,CHI VP:A2,181,1,1,1
Spartanburg214_2.xlsx,DPs:B12,1837,16,1836,17
Financial DASH.xlsx,Sheet7:H6,8,0,2,0
VIL-2016-01.xlsx,JAN 18:Q14,12,0,6,0
5烧结精益生产管控系统.xlsx,计划:AX5,0,0,0,0
RFMwithExcel.xlsx,Customer RFM Analysis:B1367,1,0,1,0
Kickstarter Challenge 20Jun2021.xlsx,Outcomes Based on Goals:B9,4,0,1,0
Butterfly Chart Data_Visualisations.xlsx,Sheet1:G20,18,0,2,0
train_test_analysis.xlsx,test:AT45,0,0,0,0
20150204 GLUEX computing model FINAL v2.xlsx,Sheet1:D3,33,0,6,0
Game Retention Data.xlsx,Fractional Retention:D41,365,4,1,4
Assignment1_ShahmeerAmjad.xlsx,Dataset:E5,2,0,1,0
gmia.qw.5.1996-2014.with.loadings.xlsx,lukes travel times:C179,11,0,2,0
Stock 19.02.2020.xlsx,Smartphone Sales Report:D4,40,1,20,1
2019 Distribution Tracking.xlsx,October 2019:E13,12,0,11,0
CL1.xlsx,Sheet30:B61,7,0,2,0
Burt's Reading Test Dataset Altered.xlsx,Sheet1:B9578,2,0,2,0
신화아쿠아.xlsx,12월:E26,13,0,5,0
Vacant dwellings by council area across UK.xlsx,Northern Ireland:I3,4,0,3,0
Reboiler_Raw Data_With Timestamps - Modificado.xlsx,Variables:B28182,14025,158,1,158
IMSMGW-PM(V2.1.4)V1.xlsx,Index:D8,3,0,3,0
fr_OL_A_T_461_50_03_1.xlsx,Sheet1:H26,1,0,1,0
2016_tax_data_by_state.xlsx,50_State_Analysis:B12,153,1,50,1
2019-05-27-1032_ampellopsis_megalophylla.xlsx,Measurements:C11,5610,81,1980,84
24_19_057t1.xlsx,נתוני תקציב:T126,1,0,1,0
Totalen per rekeningcode begroting 2016 provincie Groningen.xlsx,Kredieten productgroepen functi:A38,10496,82,10496,86
Jan 2020 - Cord Cutting Wizard - Public.xlsx,Analysis:I31,763,116,178,117
VIL-2015-06.xlsx,JUNE 6:Q17,12,0,6,0
sponza-specoff.xlsx,sponza_specoff:B2,2489,16,1,16
file.xlsx,Transactions:F1561,1,0,1,0
PilotFlexAccounting-CombinedPowellMead-v4.2.1.xlsx,Master:C21,426,5,46,5
ECW20210730.xlsx,Plate 1 - Sheet1:F12,1,0,1,0
Bilan AME_avecEPR_v2.xlsx,Feuil1:B42,35,0,1,0
Kickstarter_analysis.xlsx,OutcomeCnt&PercntByGoal:D4,4,0,1,0
jalan 1 km per jam 50 meter.xlsx,take 3:D1025,1,0,1,0
Stock 14.10.2021.xlsx,Final Stock:G41,9,0,6,0
assignment_3-sol.xlsx,Q9 histogram:C2,23,0,1,0
160707_Tarabykin_HP1TKO.3_HCS_Min_7c.xlsx,Bin Data Table:O1133,2,0,2,0
OMP 21 MENGIKUT PARLIMEN (Sehingga Jun 2020).xlsx,SPTH 8-6 :A205,14,1,2,1
Ch_07_NewerChartTypes.xlsx,Waterfall:B2,12,0,1,0
DROP OUR RATE BY BOROUGH.xlsx,Sheet1:E2,1,0,1,0
realme stock 14.10.21.xlsx,Report:F5,7,0,5,0
Office Energy Usage_Workbook.xlsx,Cleaning Analysis:H2,40100,360,2,362
realme stock 02.06.21.xlsx,Sheet1:F4,5,0,3,0
2016 girls minis.xlsx,25- 400m free:D15,1,0,1,0
tableau_graphique.xlsx,LFI:D2,1046,7,523,7
Abdullah_22Nov2021.xlsx,Abdullah:H29,21,0,7,0
89b2a317-9106-43c8-b100-c4c7a2a067db.xlsx,Sheet1:BA5630,0,0,0,0
SSD-TestData-All.xlsx,Teachers:D732,1,0,1,0
AirQualityUCI3_original.xlsx,AirQualityUCI:B9258,1,0,1,0
SAM-0.05 OR5x100-0.75_7 dataset analysis.xlsx,State026:B47,6,0,1,0
FRAN BAVERA.xlsx,base de tambo:C5,5,0,4,0
销售管理Excel表.xlsx,销售员提成汇总:G270,2,0,1,0
Scripps_150_JR_2013-01-30.xlsx,Assay Definition:A1169,2,0,1,0
Population_Standard.xlsx,Summary:B79,3,0,3,0
AutomationScripts_PVCM-Dictionary Support -Batch.xlsx,HomePage:F36,6,1,1,1
overall_report.xlsx,Sheet1:J610,2,0,2,0
laravel-excel-aX0zO35vCUzNx9QYyFXwO3gd84qj4kec.xlsx,CashFlow & Billing:C7,39,0,11,0
Padlock Swap Locations 04.10.2020.xlsx,Site List:A4,1714,17,2,17
7_services_source_analysis.xlsx,Fuel aggregation:E13,15,0,8,0
AccuracyAssessment.xlsx,Bootstrapping:A3,65,2,22,2
lsk.xlsx,dash:B56,7,0,5,0
RMI_diciembre_Claudia_Cobo.xlsx,RMI - ENERO 2017:AD15,0,0,0,0
menora_2015_3_1294.xlsx,Sheet1:C5,22,0,1,0
NQAS-CHC 13-05-2016.xlsx,New Born Stabilization Unit :D38,12,0,6,0
Prueba.xlsx,Abiertas:T11,1,0,1,0
HESTA_Quote_Tool_Draft.xlsx,2. Unit Scale SI and Units:A11,10421,156,4169,161
USD_SynthQuotesFeed.xlsx,6M LiborSwapForBasisCalc:E3,33,0,1,0
Summary_data_allsites_20_from_Brent_Sohngen_via_Nancy_Harris_20180608.xlsx,s12:P23,2,0,2,0
My First Dashboard.xlsx,Orders:D9715,1,0,1,0
Kelas II.xlsx,Final Report:F23,1,0,1,0
dsbench3-paths.xlsx,pivot:B11,1,0,1,0
all_data_analysis.xlsx,data:BP40,4,0,3,0
ENTRA--MARZO    2 0 1 4.xlsx,PIERNA:I1,58,24,58,24
经济总表.xlsx,军阶数值:G5,57,1,29,1
Arctic_AWP..xlsx,Accu_all_regions:AI188,0,0,0,0
WECC_SH_load.xlsx,state_loads from PATHWAYS (MT):B45,2,0,1,0
NABL2015_Master.xlsx,Rosters and available players:B4,707,5,1,5
transport_plane_using_kerosene.converter.xlsx,Notes:E34,12,0,5,0
Recomendaciones JUMP - Gold Standard.xlsx,OLD 5:A25,1,0,1,0
ET 2009 to Nov 2017 US mass shootings (public).xlsx,A-Report Calculations (2015 Upd:H2,11,0,10,0
benjamin_rogers__1001__BR New York Ticker backup version.xlsx,ZONE A OFFPEAK:D7,93,1,71,1
JRC-IDEES-2015_Residential_EU28.xlsx,RES_hh_SLD:P178,7,0,6,0
manual_grad_rates_corrections_2020.xlsx,grad_rates:M852,2,0,2,0
SolicitudGrafica_CN_11_11_CO_REC50.xlsx,Solicitud gráfica:J10,298,3,298,3
task_upgrade.xlsx,音乐标签优化:H24,6,0,2,0
template_base.xlsx,交流线路段:F1745,1,0,1,0
SolicitudGrafica_CN_06_01_CO.xlsx,Solicitud gráfica:B10,298,3,298,3
C01-1_KM_Data_LabelingResult_reloading.xlsx,Label_Data:P14,9,0,8,0
Datos_muestreos_IFN_dic_18.xlsx,Ponderado matorral:F159,6,0,2,0
Zeszyt1.xlsx,4c bez wypuszczania:B2,7306,78,7306,81
고블린 엘리트 돌격병.xlsx,참조 테이블:F2,103,0,1,0
CAMPSTON PROJECT BI.xlsx,DATA:C39,9994,117,1,119
PLAN1.xlsx,ENDERECO:G522,1,0,1,0
1. Buku Kas 2018 .xlsx,Agustus 18:J10,658,5,5,5
ZEUS_risorse_01.xlsx,CN2 | MC3324 MUX 20VDIFF+4CURR:C22,1,0,1,0
discrepancy_examples.xlsx,placement_data:D16,1,0,1,0
Total Leontief Inverse Matrix.xlsx,Weighted Avg BEA Multipliers:K14,42,0,1,0
Rekap Juni 2014.xlsx,AC-BC (Recond):K12,1,0,1,0
최경묵_퍼셉트론엑셀.xlsx,Sheet1:F3,83998,1189,12001,1271
池州市三类房建土地数据汇总2015-20200701.xlsx,Sheet1:N1332,2,0,2,0
Permisos_GASLP_pdf.xlsx,Base Original:B2175,1,0,1,0
Sample Spreadsheet Output.xlsx,Crawl Master:J10,2,0,1,0
Real_case_vulcanix_Supension.xlsx,SU A1300:A25,7,0,1,0
1205SIL (Conference Room).xlsx,Networking:K60,21,0,18,0
NKSC116 - NH4thang.xlsx,111:H14,94,1,4,1
180911 Mining_Authoritative_Data_R - Copy.xlsx,Activity:O5,4,0,2,0
Calculation Percentages-NBALL.xlsx,Poverty:T28,1,0,1,0
Sales by Region - Base.xlsx,North America Data:D4,2,0,1,0
Ranking_2020-11-18.xlsx,avrange of n:K495,1,0,1,0
louise_kitchen__22531__1base329c.xlsx,Amort:F10,66,0,13,0
Ashwin Abraham HW1.xlsx,Category:A3,18,0,9,0
01-1. ExcelSimulation.xlsx,Random Simulation (2):C3,5126,71,2052,74
171207 TODO EN UNO.xlsx,PRESTAMOS:F42,6,0,6,0
Tres Rios Weather Station Data June - September 20.xlsx,Clean Data:F842,1,0,1,0
Presupuesto.xlsx,global:C6,5,0,3,0
GL_Driver_Safety_Report_ferguson_20211019_085208.xlsx,Pivot Tables:M8,1,0,1,0
工作簿1-20181122143003390.xlsx,不良明细:CEA5,2,0,1,0
retornoArgentina v2.xlsx,Calculo rentabilidad:B21,17,0,12,0
实验结果upStressCompare.xlsx,124观察:S31,2,0,1,0
Sourav_Mohanty_a3.Design Global Covid Dashboard.xlsx,ANALYSIS:H33,7,0,1,0
GuidelineInEnglishCumNepali.xlsx,Sheet1:B405,1,0,1,0
Covid-data-with-cases.xlsx,Sheet1:N37,1,0,1,0
updated_produce_sales.xlsx,Sheet:B148,1,0,1,0
HW2_dataset_new.xlsx,0.01:H4,1,0,1,0
wadayama_vitA.xlsx,22:E2,52,1,1,1
Forecast.xlsx,Sheet1:R4,25,0,24,0
Percurso Curricular Interativo - Robótica.xlsx,Obrigatórias:F14,87,1,61,1
ONLINE_DISPECINK_IP_dostupne_kapacity_20210220_05-01.xlsx,Regiony:H4005,4,0,4,0
Chess.xlsx,General:D2,3,0,2,0
dmc4dpick-999.xlsx,mar:H41,3,0,2,0
Stock 23.02.2020.xlsx,Smartphone Sales Report:D4,40,1,20,1
Result_201507.xlsx,MAN:G24,6,0,6,0
Aula12.xlsx,Report:B38,6,0,3,0
Rec-20211102-CHvsgvmdf.xlsx,รวม FG:E11,2,0,1,0
HNF_OTUtaxa.xlsx,1)18s_OTUtaxa:F525,1,0,1,0
first_lockdown.xlsx,Calabria:G58,8,0,7,0
aero_test.xlsx,Sheet2:A8,131532,1048,1,1059
BilateralMigration.xlsx,Database:BHS40,2,0,2,0
parseResults.xlsx,replay_Sound Horizon - Raijin n:F12029,4,0,3,0
1_Transmembrane_type.xlsx,Sheet1 (2):I1605,1,0,1,0
RMS-RA数据核对2017-03-20.xlsx,RMS-RA数据核对:F9,4,0,4,0
Outer size Code.xlsx,% SOH of Outer size code:I44,2033,375,871,376
FemtomaxMOTORS.xlsx,DISABLE:H2,2,0,1,0
mary_fischer__25606__31Z.xlsx,E12.XLS:M32,15,0,15,0
Day 1 INSTRUCTOR.xlsx,15:B4,17,0,8,0
2015-16_CCD_Companion_LEA_Staff.xlsx,File Layout:A9,21,0,1,0
sally_beck__33737__MgmtSum-Q3-0728.xlsx,CapChrg-AllocExp:E11,17,0,7,0
2017-03-27-2017-04-02.xlsx,若梦-箱子:B38,3,0,1,0
工作簿1-20181122170204822.xlsx,不良明细:CEA5,2,0,1,0
W22704-181.xlsx,Sheet1:D2,14196,139,7098,146
tri-approx.xlsx,data:F4,8194,111,4097,116
Kickstarter Campaigns.xlsx,Bonus 1:D5,4,0,1,0
JPM Annex A(1).xlsx,Sheet1:AH5105,0,0,0,0
VIL-2015-03.xlsx,MAR 5:Q20,12,0,6,0
model_OLD_13Feb.xlsx,X.b:G59,669,8,33,8
OBC8_4_16.xlsx,Data:J18035,55,0,55,0
JRC-IDEES-2015_Tertiary_HU.xlsx,AGR_ued:J15,12,0,3,0
Tres Rios Clean Weather Data Feb-June 2015.xlsx,Tres Rios Weather Station:E341,1,0,1,0
INFORMACION-COLEGA-SAENZ - Copy.xlsx,CD (2):D39,101,0,41,1
ETS Data for Goodsin.xlsx,Sheet2:D18,7,0,5,0
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,192,1,1,1
LIMIS_QXSP.xlsx,LIMIS_COD_1:C37,3,0,3,0
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,2,0,2,0
Tio Cash Master 3301 Supplemental multi-dimensional arrays.xlsx,3303 Prime List starwildcard:C89,1,0,1,0
pytorch_example.xlsx,Sheet1:C3,11,0,6,0
工作簿1-20181122112139234.xlsx,不良明细:CEA5,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,1,0,1,0
Daftar Nama Siswa_1807.xlsx,Rekapitulasi:L6,11,0,8,0
Chemistry-1993-2013-15_Apr28b.xlsx,MasterList:P164,1,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,2,0,1,0
ENGINE ANALYSIS.xlsx,data:L13,2,0,2,0
2014_2009.xlsx,Totaal:G243,3,0,3,0
2021-12QC_molds_daily_archive_v3 - Copy.xlsx,wieght_report:E42,5,0,4,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,6479,58,1620,61
Ai9yEcyDFHx91sjTBBnsefLXOQMOCzhYWOoZFIvl.xlsx,formato:D16,99,1,1,1
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1,0,1,0
Evaluation Teacher.xlsx,Total Score:F28,3,0,3,0
creazione dati clips.xlsx,turismresort:M19,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,2,0,2,0
KTCL-master-data.xlsx,Mrg Summary:Y164,5,0,4,0
exclusive_skill_info.xlsx,Sheet2:C27,11,0,11,0
Roadmap2.xlsx,2016 AB Goals DRAFT:A5,84,1,3,1
605f283d2aa6d.xlsx,Province:B34,1,0,1,0
mapperComparisonData2.xlsx,Sheet5:AX38,0,0,0,0
20210718_ToIR_backup.xlsx,Terminology:A7,1,0,1,0
Homework - week 1.xlsx,Bonus:D4,4,0,1,0
GL_Driver_Safety_Report_ferguson_20211018_144950.xlsx,Pivot Tables:M8,1,0,1,0
results_10.02.2020.xlsx,Commits:F43,8,0,3,0
GL_Driver_Safety_Report_ferguson_20211019_172231.xlsx,Pivot Tables:M8,1,0,1,0
ds_2016_3_1528.xlsx,סכום נכסי הקרן:C18,1,0,1,0
BRTT result spreadsheet.xlsx,Calculations:E10,41,0,41,0
DC6220e6g1_kdj_data_回测指标.xlsx,连续盈利分布:B20,1,0,1,0
Pharmaview Relay Drug Pipeline Review - Consolidated Round 1 - 11-07-14 v1.xlsx,GU:D6,1,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,3,0,1,0
RMS-RA数据核对2017-03-16.xlsx,RMS-RA数据核对:F9,4,0,4,0
statistik-covid19-avlidna_2021-08-08.xlsx,Övergripande statistik:E30,2,1,2,1
hybrids_05.xlsx,vw:F30,505,3,1,3
10214-0_57pcs.xlsx,Calcu:B3,1073,14,416,14
phillip_allen__28865__pivot_1210.xlsx,Pro Forma:F8,3,0,3,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,6,0,1,0
euler第686题.xlsx,Sheet1:D24,9,0,2,0
conflicts.xlsx,With Labels:F163,3,0,2,0
ColloffWadeStrangeData.xlsx,Data:D165,2,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,147,2,107,2
모델분석.xlsx,Resnet50_Table1- 2:H24,2,0,2,0
94prprct.xlsx,94PRABFD:AK268,2,0,2,0
2021.xlsx,9 月:C4,1,0,1,0
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:G38,6,0,1,0
Annotators7_TermMatching-MasterSheet.xlsx,Annot7_Prepared:V145,1,0,1,0
25974703_CYP2D6_frequency_table_(R3).xlsx,All edited for CPIC_R3:CV20,5,0,2,0
Xing -5.25.xlsx,Sheet4:D24,9,0,7,0
Country_ELUC.xlsx,BLUE_GCB2020_IPCC_countries:BA131,3,0,1,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1379,1,0,1,0
homework 1 kickstarter chart.xlsx,data:D546,1,0,1,0
nm_Francis vs harmonic.xlsx,McalisterIanelli:L114,33,0,1,0
users_heuristics.xlsx,Sheet2:D5,3,0,2,0
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,1,0,1,0
核心字彙分析_主要關鍵字_20200424.xlsx,計畫關鍵字:B513,1216,10,1,10
293t_hrgfp_ragbq99l polysomes all.xlsx,293t_hrgfp_rich.csv:G1631,1,0,1,0
Torn_2005.xlsx,incubation:C5,2,0,2,0
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A2665,4,0,1,0
NAGP_PW_apdx.xlsx,data:F921,10,0,5,0
MASTER.xlsx,DATA:C39,252,2,1,2
Weather (10h training).xlsx,Weather2:D41,4,0,4,0
606056a53c365.xlsx,Province:B19,1,0,1,0
scott_neal__37864__Aga4-7.xlsx,AGA Storage:F51,1,0,1,0
ScenTrade__Trade_Links.xlsx,UNI_Grid:C25,4,0,4,0
excel-challenge.xlsx,Original:I3871,1,0,1,0
Panel Test Sure Thing! PC Document V4.xlsx,Test Summary:F14,7,0,4,0
richard_ring__31555__EES-CECAuditedAnnual-2000.xlsx,Schedule 2C:C118,49,1,25,1
Attributes_review_14_Oct_v1_1_(1).xlsx,Supporting Sheets:B3,1,0,1,0
CONTRATACIONES_PUBLICADAS_POR_PROVEEDOR_2020_07_26.xlsx,Datos:H8357,1,0,1,0
Forpost2016(5).xlsx,окт 2018:H7,1,0,1,0
ps19334.xlsx,Entry:W2,3,0,3,0
Data_Banco (1).xlsx,Data_Cajero:E3,1,0,1,0
200729_EngineStudsTighteningTorqueR10.xlsx,Monocoque:AJ39,2,0,2,0
ePSD_BioID-Supplementary-data.xlsx,Table 1:G6,1,0,1,0
Ranking_2021-07-28.xlsx,avrange of n:K495,1,0,1,0
Examen Unidad I FGCM.xlsx,Hoja1:D11,2,0,2,0
daren_farmer__6652__Gas Assets Ops 03-00 Prelim O&M.xlsx,2939 - Global Contracts Tx Ops:I19,5,0,5,0
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,24-3 raw data:C2,3695,29,3691,31
Data_wolves_moose_Isle_Royale_June2019.xlsx,8. moose diet and physio:J120,2,0,2,0
MOOC_Week-4_Student-Workbook.xlsx,Updating the Workbook:H14,1,0,1,0
Extended_Data_Fig2.xlsx,Extended Data Fig 2a:B25,1,0,1,0
FlightData.xlsx,testflight1:E4145,2,0,1,0
UNIT1EXCEL_ELM.xlsx,Bonus Sheet:D5,3,0,2,0
SolicitudGrafica_CN_10_13_REC_120_OK.xlsx,Solicitud gráfica:B10,298,2,298,3
5-8.xlsx,文本函数2:C1,8,0,1,0
ACS2017_Table_Shells.xlsx,acs_2017_tables_b01-18:B24389,302,2,1,2
2017airmandata.xlsx,Table 5:E19,7,1,7,1
Case study 1.xlsx,Sheet1:I11,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V10,8399,130,1,131
这一份中国省市区县行政编码人口列表.xlsx,行政区域:B2020,182,1,1,1
30-4.xlsx,Load-Displacement:D41,1439,24,479,25
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,Bonus1:D8,4,0,1,0
KickstarterStats.xlsx,Outcomes Based on Goal:D12,4,0,1,0
ps19366.xlsx,Entry:Z5,3,0,3,0
LẬP TRÌNH WEB (1).xlsx,Nhom (9):B9,75,0,1,0
采购单.xlsx,开关灯具:D25,2,0,2,0
Surf_overlay_diag_E.xlsx,ZIKV:A41,5,0,2,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:H11754,2,0,2,0
crime_v3.xlsx,crime_v3:C11,52484,743,1,758
Stock 15.06.20.xlsx,Smartphone Sales Report:C5,54,1,27,1
PV Angebots Tool.xlsx,PV-Data:H7852,3,0,2,0
106121080_CDM_All_2020.xlsx,Calc & Attestation:B7,2,0,1,0
34_22.10.2017-12.11.2017.xlsx,ფორმა N 8.1:B10,29,0,1,0
Panel Test Octagon Migration PC Document V4.xlsx,Test Summary:F8,7,0,4,0
06-04-2015_02_49_00 pm.xlsx,Hoja2:AM83,0,0,0,0
MPVDatasetDownload.xlsx,2013-2019 Killings by PD:AP42,3,0,3,0
Solution_36.xlsx,Лист2:F13338,6,0,2,0
KAPA_NEW.xlsx,2 dilutions - Analysis:F261,15,0,2,0
migdal_2016_4_1304.xlsx,מזומנים:J17,30,0,5,0
SolicitudGrafica_CN_11_11_CO_REC230.xlsx,Solicitud gráfica:B10,298,2,298,2
Question 5.xlsx,Pre-Trade Single Stock:AJ25,0,0,0,0
Abdulaziz Alboshal - Project2.xlsx,Forcasting Scenarios:K28,7,0,4,0
Fallzahlen_Kum_Tab_20210529_071615.xlsx,Fälle-Todesfälle-gesamt:B116,4,0,3,0
citiesCleanK.xlsx,citiesCleanK:Z1,1,0,1,0
I680SB_2025_S4.xlsx,Off-Ramp_Flow:KO651,0,0,0,0
hkgx1unx001-wmq.12012016.nmonmonthly.nmon.xlsx,DISK_SUMM:D78,3,0,1,0
Team_1114_Championship_Scouting_Database.xlsx,Divisional Stats:C3,1,0,1,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:H6,34,0,33,0
AllWaves_Fill-in-The_Blank-ANSWERS_forNewAnalysis.xlsx,answer tally vs actualSTATIC:C4,106,0,54,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,2,0,1,0
john_griffith__15571__Market Analysis.xlsx,Vol:A237,509,3,509,3
facilities-research-session-data.xlsx,Participant summary:E3,5,0,2,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,1,0,1,0
GL_Driver_Safety_Report_ferguson_20211101_144505.xlsx,Pivot Tables:M8,1,0,1,0
KPMG_VI_New_raw_data_update_final.xlsx,NewCustomerList:Q302,3,0,1,0
PackingTemplet.xlsx,Sheet1:P354,1,0,1,0
Singapore Key Economic Indicators.xlsx,Data Clean:G14,1,1,1,1
60604cae7ab0d.xlsx,Province:B19,1,0,1,0
ScriptRules_Fire.xlsx,13_Fire_HighSeverity:V8,3,0,1,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:H5362,6,0,4,0
T_1840_1849.xlsx,std:A2,119,1,1,1
Edureka_demo.xlsx,Personal Monthly Budget:C11,3,0,3,0
standard_1.xlsx,Sheet1 (2):H42,34,0,16,0
Data_powell.xlsx,Sheet1:AC255,0,0,0,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,preCF:F54,25,0,13,0
mean annual precipitation_C1.xlsx,mean annual precipitation:G8,4,0,3,0
KickStarter Data Analysis.xlsx,Data:I3500,1,0,1,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:G38,6,0,1,0
Hypotheekrente.xlsx,Lineair:C2,1439,13,1080,14
label sentimen.xlsx,Raw Data:D3242,6,0,3,0
Paper trading account P&L.xlsx,Summary:F9,5,0,3,0
24-1631072449-1.xlsx,SV-Import Data:H7,2,0,1,0
ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,1,0,1,0
DatenFormatiert.xlsx,Tabelle1:B4747,1,0,1,0
DatasetPC.xlsx,Quarterly:B7,281,3,1,3
jul15_base.xlsx,Dates:D3,73,0,2,0
2012-2013.xlsx,34 tbl9:G5,1,0,1,0
VA April 2017 - PMS.xlsx,Inward RM Pivot+VA:G10,14,0,6,0
AgrO variables.xlsx,Measurement:T205,1,0,1,0
Proyecciones de población años 2014 al 2021 - Tablero (2).xlsx,Poblaciones por grupo de edad:G2072,1,0,1,0
blocc2.6 15th Jan 11_30.xlsx,Growth:G10,54,0,25,0
3、电商累计收支汇总表—江西区域公司（截止2018年7月）.xlsx,电商累计收支汇总表-江西区域公司（截至2018年7月）:E6,10,0,8,0
2012_Fremont_County_General_PbP.xlsx,Sheet1:J12,1,0,1,0
DMD_PRJ.xlsx,COM:J4,5459,1177,147,1180
Sample1.xlsx,Tabelle1:A40452,1,0,1,0
tasa-de-homicidios.xlsx,Masivos:C6,9,0,5,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C7047,10011,133,4,135
common.xlsx,Traditional:A1798,2,0,2,0
excelsymphonicband.xlsx,Pivot:A544,1,0,1,0
SolvedStarterBook.xlsx,Bonus:D11,4,0,1,0
Client团队任务和版本统计-20180619update.xlsx,任务数据:I3,59,1,5,1
MISO4101-FM-CalculoVelocidad - Sprint 3.xlsx,Velocidad del Sprint:B5,22,0,6,0
2017_state_scorecard_public_use_data_file (1).xlsx,2. Report:H4,1,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T56,4,0,1,0
